sie;sig
NOVA ITABERABA                ;NOVA ITABERABASC
NOVA TRENTO                   ;NOVA TRENTOSC
NOVA VENEZA                   ;NOVA VENEZASC
NOVO HORIZONTE                ;NOVO HORIZONTESC
ORLEANS                       ;ORLEANSSC
OTACILIO COSTA                ;OTACÍLIO COSTASC
OURO                          ;OUROSC
PAIAL                         ;PAIALSC
PALHOCA                       ;PALHOÇASC
PALMA SOLA                    ;PALMA SOLASC
PALMITOS                      ;PALMITOSSC
PAPANDUVA                     ;PAPANDUVASC
PARAISO                       ;PARAÍSOSC
PASSO DE TORRES               ;PASSO DE TORRESSC
PAULO LOPES                   ;PAULO LOPESSC
PEDRAS GRANDES                ;PEDRAS GRANDESSC
PENHA                         ;PENHASC
PERITIBA                      ;PERITIBASC
PESCARIA BRAVA                ;PESCARIA BRAVASC
PETROLANDIA                   ;PETROLÂNDIASC
PINHALZINHO                   ;PINHALZINHOSC
PIRATUBA                      ;PIRATUBASC
POMERODE                      ;POMERODESC
PONTE ALTA                    ;PONTE ALTASC
PONTE SERRADA                 ;PONTE SERRADASC
PORTO BELO                    ;PORTO BELOSC
PORTO UNIAO                   ;PORTO UNIÃOSC
PRAIA GRANDE                  ;PRAIA GRANDESC
PRES C BRANCO                 ;PRESIDENTE CASTELLO BRANCOSC
PRES GETULIO                  ;PRESIDENTE GETÚLIOSC
PRES NEREU                    ;PRESIDENTE NEREUSC
QUILOMBO                      ;QUILOMBOSC
RANCHO QUEIMADO               ;RANCHO QUEIMADOSC
RIO DAS ANTAS                 ;RIO DAS ANTASSC
RIO DO CAMPO                  ;RIO DO CAMPOSC
RIO DO OESTE                  ;RIO DO OESTESC
RIO DO SUL                    ;RIO DO SULSC
RIO DOS CEDROS                ;RIO DOS CEDROSSC
RIO FORTUNA                   ;RIO FORTUNASC
RIO NEGRINHO                  ;RIO NEGRINHOSC
RODEIO                        ;RODEIOSC
ROMELANDIA                    ;ROMELÂNDIASC
SALTINHO                      ;SALTINHOSC
SALTO VELOSO                  ;SALTO VELOSOSC
SANTA CECILIA                 ;SANTA CECÍLIASC
S ROSA DE LIMA                ;SANTA ROSA DE LIMASC
S. T. PROGRESSO               ;SANTA TEREZINHA DO PROGRESSOSC
SANTA TEREZINHA               ;SANTA TEREZINHASC
SANTIAGO DO SUL               ;SANTIAGO DO SULSC
S A IMPERATRIZ                ;SANTO AMARO DA IMPERATRIZSC
SAO BENTO DO SUL              ;SÃO BENTO DO SULSC
SAO BERNARDINO                ;SÃO BERNARDINOSC
S BONIFACIO                   ;SÃO BONIFÁCIOSC
SAO BONIFACIO                 ;SÃO BONIFÁCIOSC
SAO CARLOS                    ;SÃO CARLOSSC
SAO DOMINGOS                  ;SÃO DOMINGOSSC
S FRANCISCO SUL               ;SÃO FRANCISCO DO SULSC
S JOAO BATISTA                ;SÃO JOÃO BATISTASC
