sie;sig
BAIA ALTA      ;PONTE SERRADASC
BAIA DO ITAJAI ;ITAIÓPOLISSC
BAIRRO SAO LUIZ;SÃO JOSÉSC
BAIXO GABIROBA ;SÃO MARTINHOSC
BAIXO PINHAL   ;RIO DOS CEDROSSC
BALISA         ;XANXERÊSC
BALN B VELHA   ;ARARANGUÁSC
BALN CAMBORIU  ;BALNEÁRIO CAMBORIÚSC
BALN CAMPO BOM ;JAGUARUNASC
BALN DE PRATAS ;PALMITOSSC
BALN ESPLANADA ;JAGUARUNASC
BALN GAIVOTA   ;BALNEÁRIO GAIVOTASC
BALN. BARRA SUL;ARAQUARISC
BANANAL        ;LAGUNASC
BANDEIRANTE    ;BANDEIRANTESC
BAR PINHEIRINHO;JACINTO MACHADOSC
BARCA          ;CHAPECÓSC
BARR DO NORTE 1;SÃO LUDGEROSC
BARR DO NORTE 2;PEDRAS GRANDESSC
BARR DO TIGRE 1;CONCÓRDIASC
BARRA ANTA     ;JOSÉ BOITEUXSC
BARRA BONITA   ;BARRA BONITASC
BARRA BONITA 2 ;CONCÓRDIASC
BARRA CAMBORIU ;BALNEÁRIO CAMBORIÚSC
BARRA CIPRIANO ;SALETESC
BARRA CLARA    ;ANGELINASC
BARRA DA PRATA ;IBIRAMASC
BARRA DO ARIRIU;PALHOÇASC
BARRA DO MACACO;ITAPIRANGASC
BARRA DO SAI   ;ITAPOÁSC
BARRA DO SUL   ;ARAQUARISC
BARRA DOLMANN  ;IBIRAMASC
BARRA GRANDE 1 ;SALETESC
BARRA GRANDE 2 ;FAXINAL DOS GUEDESSC
BARRA GRANDE 4 ;LEOBERTO LEALSC
BARRA ITAPOCU  ;ARAQUARISC
BARRA MAIDANA  ;ÁGUAS DE CHAPECÓSC
BARRA MANSA    ;CANOINHASSC
BARRA NEGRA    ;MAJOR GERCINOSC
BARRA R DOLMANN;JOSÉ BOITEUXSC
BARRA RIO BUGRE;ITUPORANGASC
BARRA S JOAO   ;BENEDITO NOVOSC
BARRA TAIOZINHO;RIO DO CAMPOSC
BARRA TIGRE 2  ;AGROLÂNDIASC
BARRA TROMBUDO ;RIO DO SULSC
BARRA VELHA    ;BARRA VELHASC
BARRA VERDE 2  ;IÇARASC
BARRACAO       ;GASPARSC
BARRAGEM       ;ANGELINASC
BARRANCA       ;GRAVATALSC
BARRANCEIRA    ;LAGUNASC
BARRANCO ALTO  ;ILHOTASC
BARREIRA       ;LAGESSC
BARREIROS 1    ;SÃO JOSÉSC
BARREIROS 3    ;LAGUNASC
BARREIROS(HH)  ;SÃO JOSÉSC
BARREIROS[RR]  ;SÃO JOSÉSC
BARRO BRANCO 1 ;SÃO JOSÉSC
BARRO BRANCO 2 ;LAURO MULLERSC
BARRO PRETO    ;CAPINZALSC
BARRO PRETO 1  ;XANXERÊSC
BARRO VERMELHO2;ARMAZÉMSC
BARRO VERMELHO3;GRAVATALSC
BATEIAS        ;GASPARSC
BATEIAS BAIXO  ;CAMPO ALEGRESC
BATISTELO      ;CHAPECÓSC
BAU 1          ;ILHOTASC
BAU CENTRAL    ;ILHOTASC
BEATO ROQUE    ;ITAPIRANGASC
BELA ALIANCA   ;SÃO BENTO DO SULSC
BELA UNIAO     ;DESCANSOSC
